mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5530849456787109,0.012057513279731912,0.016042661666870118,0.004211620464740313,3,0.7,0.7,0.01,"{'max_depth': 3, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_split': 0.01}",0.881243063263041,0.881243063263041,0.8890122086570478,0.8712541620421753,0.8777777777777778,0.8801060550006167,0.005756423061306347,126
0.6117184162139893,0.11168679668157211,0.017900466918945312,0.006884393015542604,3,0.7,0.7,0.03,"{'max_depth': 3, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.8779134295227525,0.8823529411764706,0.8923418423973363,0.8657047724750278,0.8755555555555555,0.8787737082254286,0.008704008744546477,157
0.5801764965057373,0.03628202876498644,0.019251298904418946,0.004590292592839329,3,0.7,0.7,0.07,"{'max_depth': 3, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_split': 0.07}",0.8645948945615982,0.881243063263041,0.8801331853496115,0.8634850166481687,0.8755555555555555,0.8730023430755951,0.00757023074356656,186
0.537010908126831,0.020503821642806466,0.016050004959106447,0.0026963953039227306,3,0.7,0.7,0.1,"{'max_depth': 3, 'max_features': 0.7, 'max_samples': 0.7, 'min_samples_split': 0.1}",0.8701442841287459,0.8690344062153164,0.8756936736958935,0.8612652608213096,0.8722222222222222,0.8696719694166977,0.004776338120964953,225
0.6055573463439942,0.0681175083030783,0.017389917373657228,0.0054912161883561095,3,0.7,0.8,0.01,"{'max_depth': 3, 'max_features': 0.7, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.881243063263041,0.8856825749167592,0.8923418423973363,0.8668146503884573,0.8788888888888889,0.8809942039708965,0.008441608168143102,110
0.6569077014923096,0.0453431036661975,0.017708873748779295,0.0030252875446682053,3,0.7,0.8,0.03,"{'max_depth': 3, 'max_features': 0.7, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.8779134295227525,0.881243063263041,0.8912319644839067,0.8701442841287459,0.8766666666666667,0.8794398816130226,0.006909900031245535,136
0.5389035701751709,0.05181181387545962,0.014001703262329102,0.002430191408187021,3,0.7,0.8,0.07,"{'max_depth': 3, 'max_features': 0.7, 'max_samples': 0.8, 'min_samples_split': 0.07}",0.8779134295227525,0.8823529411764706,0.8879023307436182,0.8679245283018868,0.8744444444444445,0.8781075348378344,0.006798691521619903,172
0.566303825378418,0.04127717036528455,0.012627696990966797,0.0019537399113776764,3,0.7,0.8,0.1,"{'max_depth': 3, 'max_features': 0.7, 'max_samples': 0.8, 'min_samples_split': 0.1}",0.8645948945615982,0.8690344062153164,0.8756936736958935,0.8601553829078802,0.8722222222222222,0.8683401159205821,0.005488973270520454,252
0.5697071552276611,0.02125967873577591,0.01628389358520508,0.004937623470597064,3,0.7,0.9,0.01,"{'max_depth': 3, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.8801331853496115,0.8790233074361821,0.8901220865704772,0.8668146503884573,0.88,0.8792186459489455,0.007405797416280265,142
0.5706668853759765,0.024859627212695756,0.017026710510253906,0.0006949473951868816,3,0.7,0.9,0.03,"{'max_depth': 3, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.03}",0.8756936736958935,0.881243063263041,0.8867924528301887,0.8679245283018868,0.8755555555555555,0.877441854729313,0.0063099387474950626,177
0.5769876480102539,0.0284503687651686,0.0144134521484375,0.0024867977470954604,3,0.7,0.9,0.07,"{'max_depth': 3, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.07}",0.876803551609323,0.881243063263041,0.8879023307436182,0.8690344062153164,0.8766666666666667,0.878330003699593,0.006190641965364448,164
0.618328857421875,0.1049034792345352,0.016249799728393556,0.0027076601822303248,3,0.7,0.9,0.1,"{'max_depth': 3, 'max_features': 0.7, 'max_samples': 0.9, 'min_samples_split': 0.1}",0.8645948945615982,0.8701442841287459,0.8756936736958935,0.8612652608213096,0.8722222222222222,0.868784067085954,0.0052056772610822,247
